station_from_id,station_from_name,station_from_lat,station_from_lon,station_to_id,station_to_name,station_to_lat,station_to_lon,line,edge_distance_km
940GZZLUMBA,Marble Arch Underground Station,51.513424,-0.158953,940GZZLUBND,Bond Street Underground Station,51.514304,-0.149723,central,0.6461625949969434
940GZZLUBND,Bond Street Underground Station,51.514304,-0.149723,940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,central,0.5507135558060228
940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,940GZZLUTCR,Tottenham Court Road Underground Station,51.516426,-0.13041,central,0.8064277228946144
940GZZLUTCR,Tottenham Court Road Underground Station,51.516426,-0.13041,940GZZLUHBN,Holborn Underground Station,51.51758,-0.120475,central,0.699322212587911
940GZZLUHBN,Holborn Underground Station,51.51758,-0.120475,940GZZLUCHL,Chancery Lane Underground Station,51.518247,-0.111583,central,0.6197205472143643
940GZZLUCHL,Chancery Lane Underground Station,51.518247,-0.111583,940GZZLUSPU,St. Paul's Underground Station,51.514936,-0.097567,central,1.0373706143267833
940GZZLUSPU,St. Paul's Underground Station,51.514936,-0.097567,940GZZLUBNK,Bank Underground Station,51.513335,-0.088712,central,0.6380936546021023
940GZZLUBNK,Bank Underground Station,51.513335,-0.088712,940GZZLULVT,Liverpool Street Underground Station,51.517372,-0.083182,central,0.5898598129299625
940GZZLULVT,Liverpool Street Underground Station,51.517372,-0.083182,940GZZLUBLG,Bethnal Green Underground Station,51.527222,-0.055506,central,2.205925477361865
940GZZLUBLG,Bethnal Green Underground Station,51.527222,-0.055506,940GZZLUMED,Mile End Underground Station,51.525122,-0.03364,central,1.5306222068328719
940GZZLUMED,Mile End Underground Station,51.525122,-0.03364,940GZZLUSTD,Stratford Underground Station,51.541806,-0.003458,central,2.792861799244731
940GZZLUSTD,Stratford Underground Station,51.541806,-0.003458,940GZZLULYN,Leyton Underground Station,51.556589,-0.005523,central,1.6499843956339826
940GZZLULYN,Leyton Underground Station,51.556589,-0.005523,940GZZLULYS,Leytonstone Underground Station,51.568324,0.008194,central,1.6129992789496026
940GZZLULYS,Leytonstone Underground Station,51.568324,0.008194,940GZZLUSNB,Snaresbrook Underground Station,51.580678,0.02144,central,1.6507589201429709
940GZZLUSNB,Snaresbrook Underground Station,51.580678,0.02144,940GZZLUSWF,South Woodford Underground Station,51.591907,0.027338,central,1.3134186999683757
940GZZLUSWF,South Woodford Underground Station,51.591907,0.027338,940GZZLUWOF,Woodford Underground Station,51.606899,0.03397,central,1.7288232860637909
940GZZLUWOF,Woodford Underground Station,51.606899,0.03397,940GZZLUBKH,Buckhurst Hill Underground Station,51.626605,0.046757,central,2.3623755417907066
