station_id,station_name,lat,lon,lines_served,num_lines
940GZZDLCLA,Crossharbour DLR Station,51.495728,-0.014606,['dlr'],1
940GZZLUCXY,Croxley Underground Station,51.647044,-0.441718,['metropolitan'],1
940GZZDLCUS,Custom House (for ExCel) DLR Station,51.509716,0.026699,['dlr'],1
9100CSTMHSXR,Custom House Station,51.50986,0.026677,['elizabeth'],1
940GZZDLCUT,Cutty Sark (for Maritime Greenwich) DLR Station,51.481671,-0.01081,['dlr'],1
940GZZDLCYP,Cyprus DLR Station,51.508473,0.063925,['dlr'],1
940GZZLUDGE,Dagenham East Underground Station,51.544096,0.166017,['district'],1
940GZZLUDGY,Dagenham Heathway Underground Station,51.541639,0.147527,['district'],1
940GZZLUDBN,Debden Underground Station,51.645386,0.083782,['central'],1
940GZZDLDEP,Deptford Bridge DLR Station,51.474215,-0.022438,['dlr'],1
940GZZDLDEV,Devons Road DLR Station,51.522667,-0.017615,['dlr'],1
940GZZLUDOH,Dollis Hill Underground Station,51.551955,-0.239068,['jubilee'],1
910GEALINGB,Ealing Broadway Rail Station,51.514841,-0.301752,"['central', 'district', 'elizabeth']",3
940GZZLUEBY,Ealing Broadway Underground Station,51.515017,-0.301457,"['central', 'district', 'elizabeth']",3
940GZZLUECM,Ealing Common Underground Station,51.51014,-0.288265,"['district', 'piccadilly']",2
940GZZLUECT,Earl's Court Underground Station,51.492063,-0.193378,"['district', 'piccadilly']",2
940GZZLUEAN,East Acton Underground Station,51.516612,-0.247248,['central'],1
940GZZLUEFY,East Finchley Underground Station,51.587131,-0.165012,['northern'],1
940GZZLUEHM,East Ham Underground Station,51.538948,0.051186,"['district', 'hammersmith-city']",2
940GZZDLEIN,East India DLR Station,51.509359,-0.002326,['dlr'],1
940GZZLUEPY,East Putney Underground Station,51.459205,-0.211,['district'],1
940GZZLUEAE,Eastcote Underground Station,51.576506,-0.397373,"['metropolitan', 'piccadilly']",2
940GZZLUERB,Edgware Road (Bakerloo) Underground Station,51.520299,-0.17015,"['bakerloo', 'circle', 'district', 'hammersmith-city']",4
940GZZLUERC,Edgware Road (Circle Line) Underground Station,51.519858,-0.167832,"['bakerloo', 'circle', 'district', 'hammersmith-city']",4
940GZZLUEGW,Edgware Underground Station,51.613653,-0.274928,['northern'],1
940GZZLUEAC,Elephant & Castle Underground Station,51.494536,-0.100606,"['bakerloo', 'northern']",2
940GZZLUEPK,Elm Park Underground Station,51.549775,0.19864,['district'],1
940GZZDLELV,Elverson Road DLR Station,51.469074,-0.016728,['dlr'],1
940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,"['bakerloo', 'circle', 'district', 'northern']",4
940GZZLUEPG,Epping Underground Station,51.69368,0.113767,['central'],1
940GZZLUESQ,Euston Square Underground Station,51.525604,-0.135829,"['circle', 'hammersmith-city', 'metropolitan']",3
940GZZLUEUS,Euston Underground Station,51.527824,-0.131846,"['northern', 'victoria']",2
940GZZLUFLP,Fairlop Underground Station,51.595618,0.091004,['central'],1
910GFRNDXR,Farringdon,51.520189,-0.104915,"['circle', 'elizabeth', 'hammersmith-city', 'metropolitan']",4
940GZZLUFCN,Farringdon Underground Station,51.520252,-0.104913,"['circle', 'elizabeth', 'hammersmith-city', 'metropolitan']",4
940GZZLUFYC,Finchley Central Underground Station,51.600921,-0.192527,['northern'],1
940GZZLUFYR,Finchley Road Underground Station,51.546825,-0.179845,"['jubilee', 'metropolitan']",2
940GZZLUFPK,Finsbury Park Underground Station,51.564158,-0.106825,"['piccadilly', 'victoria']",2
910GFRSTGT,Forest Gate Rail Station,51.549432,0.024353,['elizabeth'],1
940GZZLUFBY,Fulham Broadway Underground Station,51.480081,-0.195422,['district'],1
940GZZDLGAL,Gallions Reach DLR Station,51.508941,0.071555,['dlr'],1
940GZZLUGTH,Gants Hill Underground Station,51.576544,0.066185,['central'],1
910GGIDEAPK,Gidea Park Rail Station,51.581904,0.205964,['elizabeth'],1
940GZZLUGTR,Gloucester Road Underground Station,51.494316,-0.182658,"['circle', 'district', 'piccadilly']",3
940GZZLUGGN,Golders Green Underground Station,51.572259,-0.194039,['northern'],1
940GZZLUGHK,Goldhawk Road Underground Station,51.502005,-0.226715,"['circle', 'hammersmith-city']",2
940GZZLUGDG,Goodge Street Underground Station,51.520599,-0.134361,['northern'],1
910GGODMAYS,Goodmayes Rail Station,51.565579,0.110807,['elizabeth'],1
940GZZLUGGH,Grange Hill Underground Station,51.613378,0.092066,['central'],1
940GZZLUGPS,Great Portland Street Underground Station,51.52384,-0.144262,"['circle', 'hammersmith-city', 'metropolitan']",3
940GZZLUGPK,Green Park Underground Station,51.506947,-0.142787,"['jubilee', 'piccadilly', 'victoria']",3
940GZZLUGFD,Greenford Underground Station,51.542424,-0.34605,['central'],1
940GZZDLGRE,Greenwich DLR Station,51.478087,-0.013673,['dlr'],1
940GZZLUGBY,Gunnersbury Underground Station,51.491803,-0.275267,['district'],1
940GZZLUHLT,Hainault Underground Station,51.603659,0.093482,['central'],1
940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,51.4923,-0.22362,"['circle', 'district', 'hammersmith-city', 'piccadilly']",4
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,51.49339,-0.22503,"['circle', 'district', 'hammersmith-city', 'piccadilly']",4
940GZZLUHTD,Hampstead Underground Station,51.556239,-0.177464,['northern'],1
940GZZLUHGR,Hanger Lane Underground Station,51.530177,-0.292704,['central'],1
910GHANWELL,Hanwell Rail Station,51.511835,-0.338583,['elizabeth'],1
940GZZLUHSN,Harlesden Underground Station,51.53631,-0.257883,['bakerloo'],1
910GHRLDWOD,Harold Wood Rail Station,51.592766,0.233129,['elizabeth'],1
940GZZLUHAW,Harrow & Wealdstone Underground Station,51.592268,-0.335217,['bakerloo'],1
940GZZLUHOH,Harrow-on-the-Hill Underground Station,51.579195,-0.337225,['metropolitan'],1
940GZZLUHNX,Hatton Cross Underground Station,51.466747,-0.423191,['piccadilly'],1
910GHAYESAH,Hayes & Harlington Rail Station,51.503096,-0.420683,['elizabeth'],1
